S,K,T,option_type,mid_price,r,iv
100,90,0.25,call,12.5,0.01,0.10871134445606298
100,100,0.25,call,4.2,0.01,0.20458154355735983
100,110,0.25,call,0.85,0.01,0.03638384320584769
100,90,0.5,call,14.8,0.01,0.1763220477306328
100,100,0.5,call,7.15,0.01,0.24543851058393718
100,110,0.5,call,2.45,0.01,0.08883112438143179
100,95,0.25,call,8.3,0.01,0.13759950494338755
100,105,0.25,call,1.95,0.01,0.08293293625734294
100,95,0.5,call,10.9,0.01,0.28420431270917423
100,105,0.5,call,4.8,0.01,0.23362663505316925
